month,bucket,dts,mts,wedge
2026-04,income_payroll,708012,711361.52667937,-3349.52667936997
2026-05,income_payroll,298207,309258.92686982,-11051.926869819988
2026-06,income_payroll,431205,438655.69660426,-7450.696604260011
2023-03,corporate,13363,11487.15392576,1875.8460742400002
2023-04,corporate,88702,80580.53169405,8121.468305949995
2023-05,corporate,8042,13789.862511450001,-5747.862511450001
2023-06,corporate,71060,71528.19271905,-468.19271904999914
2023-07,corporate,9813,14252.30470768,-4439.304707679999
2023-08,corporate,5254,4310.92301346,943.0769865399998
2023-09,corporate,93346,95128.24745624,-1782.247456240002
2023-10,corporate,49596,48208.044225239995,1387.9557747600047
2023-11,corporate,8488,7801.17827736,686.8217226400002
2023-12,corporate,93083,93925.13428960001,-842.1342896000133
2024-01,corporate,17898,19642.851466400003,-1744.8514664000031
2024-02,corporate,5564,4887.81340965,676.1865903500002
2024-03,corporate,15686,14811.738352780001,874.2616472199988
2024-04,corporate,109319,91907.66761655001,17411.33238344999
2024-05,corporate,10618,30131.69034578,-19513.69034578
2024-06,corporate,81707,81353.91133026,353.0886697399983
2024-07,corporate,21383,19833.86085107,1549.1391489300004
2024-08,corporate,4609,8807.696671360001,-4198.696671360001
2024-09,corporate,104795,108555.21580152001,-3760.215801520011
2024-10,corporate,15864,12871.72805419,2992.27194581
2024-11,corporate,6888,9337.65978827,-2449.6597882700007
2024-12,corporate,88176,87271.52149734,904.4785026600002
2025-01,corporate,21957,24436.108069830003,-2479.108069830003
2025-02,corporate,9059,9865.93746837,-806.9374683700007
2025-03,corporate,17057,17816.4920724,-759.4920724000003
2025-04,corporate,118743,93632.07355992,25110.926440080002
2025-05,corporate,19103,42955.2257559,-23852.2257559
2025-06,corporate,67022,68086.43543283,-1064.435432829996
2025-07,corporate,13736,20834.781891630002,-7098.781891630002
2025-08,corporate,3323,2505.7501822,817.2498178000001
2025-09,corporate,62500,62475.5896469,24.410353100000066
2025-10,corporate,16526,15068.062395530002,1457.9376044699984
2025-11,corporate,6683,7169.18689241,-486.1868924099999
2025-12,corporate,61591,59447.58456491,2143.415435089999
2026-01,corporate,25775,30695.25320444,-4920.2532044399995
2026-02,corporate,895,-3186.59072158,4081.59072158
2026-03,corporate,10535,6856.40555835,3678.5944416499997
2026-04,corporate,77138,82592.77516515,-5454.77516515
2026-05,corporate,12285,11160.999759870001,1124.000240129999
2026-06,corporate,70614,69536.65291203,1077.3470879700035
2023-03,excise,8435,7741.13069957,693.8693004300003
2023-04,excise,8221,3336.8358099899997,4884.16419001
2023-05,excise,8424,8195.22146267,228.77853732999938
2023-06,excise,8213,7770.78394133,442.21605867000017
2023-07,excise,9129,742.40719262,8386.59280738
2023-08,excise,8749,8446.06807032,302.9319296800004
2023-09,excise,11577,7197.49738982,4379.50261018
2023-10,excise,7844,7262.917286270001,581.0827137299993
2023-11,excise,8280,7690.86652825,589.1334717500004
2023-12,excise,7751,6971.98654943,779.0134505699998
2024-01,excise,7465,6606.03729704,858.9627029599997
2024-02,excise,7721,6674.85790423,1046.1420957700002
2024-03,excise,7808,6831.14366163,976.8563383700002
2024-04,excise,8636,7476.24446536,1159.7555346400004
2024-05,excise,8451,7635.31152652,815.6884734799996
2024-06,excise,7948,7097.07504016,850.9249598400002
2024-07,excise,9301,16964.02324224,-7663.02324224
2024-08,excise,8544,7929.22838932,614.7716106799999
2024-09,excise,13022,12295.634806790002,726.3651932099983
2024-10,excise,11246,10457.737665069999,788.2623349300011
2024-11,excise,8335,9577.82583509,-1242.8258350899996
2024-12,excise,7548,6407.03177579,1140.9682242099998
2025-01,excise,9084,8515.512389739999,568.487610260001
2025-02,excise,7543,4956.98324901,2586.01675099
2025-03,excise,7645,7115.68321478,529.3167852200004
2025-04,excise,13031,12374.274273370002,656.7257266299985
2025-05,excise,8795,8357.40785037,437.59214962999977
2025-06,excise,7936,7596.00285214,339.99714786000004
2025-07,excise,9943,9574.29891141,368.7010885899999
2025-08,excise,8546,8224.322871119999,321.67712888000096
2025-09,excise,13265,12779.38441974,485.61558026000057
2025-10,excise,6794,5982.72046983,811.2795301699998
2025-11,excise,8464,8453.23658739,10.76341261000016
2025-12,excise,8198,7583.694534159999,614.3054658400006
2026-01,excise,9105,8527.04334118,577.9566588199996
2026-02,excise,7860,7346.2131211999995,513.7868788000005
2026-03,excise,7894,7300.239194819999,593.7608051800007
2026-04,excise,13845,13396.93401251,448.0659874899993
2026-05,excise,9027,8702.13341849,324.8665815099994
2026-06,excise,8165,7705.55229815,459.44770185000016
2023-03,estate_gift,2437,2293.94568906,143.05431094000005
2023-04,estate_gift,2117,1959.80325101,157.19674899000006
2023-05,estate_gift,3113,3141.77990592,-28.779905920000147
2023-06,estate_gift,1603,1656.0992713,-53.099271300000055
2023-07,estate_gift,1269,1130.5580366400002,138.44196335999982
2023-08,estate_gift,3084,2877.4268266599997,206.57317334000027
2023-09,estate_gift,1894,1829.597083,64.40291699999989
2023-10,estate_gift,4313,4460.434123800001,-147.43412380000063
2023-11,estate_gift,2577,2320.9078691,256.09213090000003
2023-12,estate_gift,2702,1654.49236395,1047.50763605
2024-01,estate_gift,2035,3073.12500844,-1038.1250084399999
2024-02,estate_gift,1731,1549.51343825,181.48656174999996
2024-03,estate_gift,2064,1761.05234946,302.94765054000004
2024-04,estate_gift,4243,4175.14931185,67.85068814999977
2024-05,estate_gift,3620,3561.19598683,58.80401316999996
2024-06,estate_gift,2072,1988.8564401400001,83.14355985999987
2024-07,estate_gift,1605,1374.2608711199998,230.73912888000018
2024-08,estate_gift,3478,3492.7875439,-14.787543899999946
2024-09,estate_gift,2483,2204.10080214,278.8991978600002
2024-10,estate_gift,2650,2776.9667645100003,-126.9667645100003
2024-11,estate_gift,2140,2244.1478819699996,-104.14788196999962
2024-12,estate_gift,1592,1638.8153528,-46.81535280000003
2025-01,estate_gift,2405,2431.91442629,-26.914426289999938
2025-02,estate_gift,2064,2257.7403548899997,-193.7403548899997
2025-03,estate_gift,1607,1548.94335149,58.05664851000006
2025-04,estate_gift,3911,3726.1716239,184.8283760999998
2025-05,estate_gift,3329,3230.5781674299997,98.42183257000033
2025-06,estate_gift,2944,2486.08715987,457.91284012999995
2025-07,estate_gift,2000,1751.1399463399998,248.86005366000018
2025-08,estate_gift,2505,2334.18605153,170.81394847
2025-09,estate_gift,3328,3035.3540094299997,292.6459905700003
2025-10,estate_gift,3953,3720.69951842,232.30048158
2025-11,estate_gift,2815,2992.86710249,-177.86710248999998
2025-12,estate_gift,1728,1578.18254284,149.81745716
2026-01,estate_gift,3742,3854.9905205500004,-112.99052055000038
2026-02,estate_gift,2643,2656.95924002,-13.959240019999925
2026-03,estate_gift,5372,4995.2722207,376.7277793000003
2026-04,estate_gift,5030,4695.06590815,334.9340918500002
2026-05,estate_gift,4983,3457.22496258,1525.77503742
2026-06,estate_gift,2724,2203.8829043200003,520.1170956799997
2023-03,customs,7458,6151.6065630699995,1306.3934369300005
2023-04,customs,7664,6349.69306666,1314.30693334
2023-05,customs,7823,6373.0917490500005,1449.9082509499995
2023-06,customs,7909,6475.488282779999,1433.5117172200007
2023-07,customs,8279,6909.94919388,1369.0508061199998
2023-08,customs,7979,6325.14088104,1653.8591189600002
2023-09,customs,8104,6678.4401091400005,1425.5598908599995
2023-10,customs,8142,6902.73748869,1239.2625113100003
2023-11,customs,7645,6296.206194390001,1348.7938056099993
2023-12,customs,7191,5744.45285498,1446.5471450200002
2024-01,customs,7968,6476.62597612,1491.37402388
2024-02,customs,7880,6208.38823055,1671.6117694499999
2024-03,customs,7440,6064.284893659999,1375.7151063400006
2024-04,customs,7744,6366.50872777,1377.4912722299996
2024-05,customs,7712,5224.66170185,2487.33829815
2024-06,customs,7564,6323.34466886,1240.6553311400003
2024-07,customs,8661,7133.48819071,1527.5118092900002
2024-08,customs,8906,7046.95154896,1859.0484510400001
2024-09,customs,8800,7249.25946835,1550.7405316499999
2024-10,customs,8962,7297.25697625,1664.7430237500002
2024-11,customs,8377,6711.86903796,1665.1309620399998
2024-12,customs,8281,6814.38056422,1466.6194357799995
2025-01,customs,8964,7341.41593658,1622.5840634200003
2025-02,customs,8934,7246.81267538,1687.1873246200003
2025-03,customs,9620,8167.908459560001,1452.0915404399993
2025-04,customs,17431,15633.91734871,1797.0826512900003
2025-05,customs,23969,22172.564539209998,1796.4354607900023
2025-06,customs,28021,26631.66423177,1389.3357682300011
2025-07,customs,29633,27670.054031400003,1962.9459685999973
2025-08,customs,31367,29502.94274954,1864.0572504599986
2025-09,customs,31676,29674.953322240002,2001.0466777599977
2025-10,customs,34245,31353.50108111,2891.49891889
2025-11,customs,32866,30755.95202041,2110.047979589999
2025-12,customs,30377,27892.3820352,2484.6179647999998
2026-01,customs,30467,27742.448220240003,2724.551779759997
2026-02,customs,28614,26593.80871149,2020.1912885099991
2026-03,customs,25098,22154.874400700002,2943.1255992999977
2026-04,customs,24776,22124.13354743,2651.8664525700005
2026-05,customs,23546,-42.30456623,23588.30456623
2026-06,customs,24831,-25555.668440830003,50386.668440830006
2023-03,misc_receipts,1842,2494.2878382,-652.2878381999999
2023-04,misc_receipts,1074,2110.74411103,-1036.74411103
2023-05,misc_receipts,1184,1593.37058502,-409.3705850199999
2023-06,misc_receipts,1288,1286.57418911,1.4258108900000934
2023-07,misc_receipts,2075,2521.1653877800004,-446.1653877800004
2023-08,misc_receipts,1198,9435.06095726,-8237.06095726
2023-09,misc_receipts,1100,5232.250347020001,-4132.250347020001
2023-10,misc_receipts,343,2480.6801792600004,-2137.6801792600004
2023-11,misc_receipts,474,1781.3272638800001,-1307.3272638800001
2023-12,misc_receipts,292,1873.9909471800001,-1581.9909471800001
2024-01,misc_receipts,337,2418.40680268,-2081.40680268
2024-02,misc_receipts,186,1711.6555686099998,-1525.6555686099998
2024-03,misc_receipts,375,2253.17927677,-1878.17927677
2024-04,misc_receipts,640,3082.48968827,-2442.48968827
2024-05,misc_receipts,804,4156.82528912,-3352.82528912
2024-06,misc_receipts,721,3089.01405183,-2368.01405183
2024-07,misc_receipts,586,3688.2786279499996,-3102.2786279499996
2024-08,misc_receipts,515,12025.51386862,-11510.51386862
2024-09,misc_receipts,417,4606.0887751400005,-4189.0887751400005
2024-10,misc_receipts,1619,3043.69597285,-1424.69597285
2024-11,misc_receipts,481,3946.30075829,-3465.30075829
2024-12,misc_receipts,604,3321.5971965,-2717.5971965
2025-01,misc_receipts,571,2475.00874441,-1904.00874441
2025-02,misc_receipts,1515,2711.57333712,-1196.57333712
2025-03,misc_receipts,820,2141.96476953,-1321.96476953
2025-04,misc_receipts,761,3366.8273224600002,-2605.8273224600002
2025-05,misc_receipts,762,4185.94353447,-3423.9435344699996
2025-06,misc_receipts,1129,2318.31384625,-1189.31384625
2025-07,misc_receipts,732,2490.95254719,-1758.9525471900001
2025-08,misc_receipts,695,14562.98028283,-13867.98028283
2025-09,misc_receipts,623,3349.15512137,-2726.15512137
2025-10,misc_receipts,1570,3501.47377933,-1931.47377933
2025-11,misc_receipts,831,1884.11422214,-1053.11422214
2025-12,misc_receipts,2032,2384.74669859,-352.74669859000005
2026-01,misc_receipts,395,2007.74223747,-1612.74223747
2026-02,misc_receipts,715,1942.0134702799999,-1227.0134702799999
2026-03,misc_receipts,1100,3332.30286935,-2232.30286935
2026-04,misc_receipts,1549,3169.68893592,-1620.68893592
2026-05,misc_receipts,1513,2975.20278289,-1462.20278289
2026-06,misc_receipts,1861,3215.36529077,-1354.3652907699998
